Year,Month,Day,Concentration,DayOfWeek,Weekend
2008,11,18,26.041666666666668,2,0
2008,11,19,22.47826086956522,3,0
2008,11,20,33.666666666666664,4,0
2008,11,21,54.43478260869565,5,0
2008,11,22,55.375,6,1
2008,11,23,47.69565217391305,0,1
2008,11,24,26.041666666666668,1,0
2008,11,25,8.26086956521739,2,0
2008,11,26,10.125,3,0
2008,11,27,29.47826086956522,4,0
2008,11,28,24.541666666666668,5,0
2008,11,29,22.91304347826087,6,1
2008,11,30,32.75,0,1
2008,12,1,14.565217391304348,1,0
2008,12,2,22.708333333333332,2,0
2008,12,3,23.304347826086957,3,0
2008,12,4,37.041666666666664,4,0
2008,12,5,37.391304347826086,5,0
2008,12,6,27.666666666666668,6,1
2008,12,7,18.782608695652176,0,1
2008,12,8,5.666666666666667,1,0
2008,12,9,11.956521739130435,2,0
2008,12,10,22.291666666666668,3,0
2008,12,11,13.26086956521739,4,0
2008,12,12,23.625,5,0
2008,12,13,31.26086956521739,6,1
2008,12,14,19.791666666666668,0,1
2008,12,15,3.1739130434782608,1,0
2008,12,16,2.5833333333333335,2,0
2008,12,17,2.1818181818181817,3,0
2008,12,18,14.608695652173912,4,0
2008,12,19,31.375,5,0
2008,12,20,47.34782608695652,6,1
2008,12,21,50.875,0,1
2008,12,22,27.434782608695652,1,0
2008,12,23,8.25,2,0
2008,12,24,18.608695652173914,3,0
2008,12,25,36.0,4,0
2008,12,26,27.217391304347824,5,0
2008,12,27,14.25,6,1
2008,12,28,15.08695652173913,0,1
2008,12,29,11.666666666666666,1,0
2008,12,30,6.130434782608695,2,0
2008,12,31,2.5416666666666665,3,0
2009,1,1,6.391304347826087,4,0
2009,1,2,3.0416666666666665,5,0
2009,1,3,4.260869565217392,6,1
2009,1,4,10.652173913043478,0,1
2009,1,5,21.0,1,0
2009,1,6,9.652173913043478,2,0
2009,1,7,2.65,3,0
2009,1,8,2.9047619047619047,4,0
2009,1,9,3.5833333333333335,5,0
2009,1,10,4.478260869565218,6,1
2009,1,11,36.041666666666664,0,1
2009,1,12,61.26086956521739,1,0
2009,1,13,54.166666666666664,2,0
2009,1,14,16.52173913043478,3,0
2009,1,15,39.166666666666664,4,0
2009,1,16,25.217391304347824,5,0
2009,1,17,45.541666666666664,6,1
2009,1,18,63.04347826086956,0,1
2009,1,19,62.72222222222222,1,0
2009,1,20,58.95652173913044,2,0
2009,1,21,45.9,3,0
2009,1,22,54.34782608695652,4,0
2009,1,23,42.625,5,0
2009,1,24,21.82608695652174,6,1
2009,1,25,47.958333333333336,0,1
2009,1,26,18.869565217391305,1,0
2009,1,27,2.7916666666666665,2,0
2009,1,28,11.391304347826088,3,0
2009,1,29,14.083333333333334,4,0
2009,1,30,19.608695652173914,5,0
2009,1,31,32.25,6,1
2009,2,1,37.91304347826087,0,1
2009,2,2,29.416666666666668,1,0
2009,2,3,17.391304347826086,2,0
2009,2,4,14.125,3,0
2009,2,5,31.130434782608695,4,0
2009,2,6,37.291666666666664,5,0
2009,2,7,12.26086956521739,6,1
2009,2,8,36.208333333333336,0,1
2009,2,9,45.77272727272727,1,0
2009,2,10,43.69230769230769,2,0
2009,2,11,32.61538461538461,3,0
2009,2,12,36.333333333333336,4,0
2009,2,13,18.217391304347824,5,0
2009,2,14,36.958333333333336,6,1
2009,2,15,29.695652173913043,0,1
2009,2,16,17.875,1,0
2009,2,17,22.652173913043477,2,0
2009,2,18,28.869565217391305,3,0
2009,2,19,8.08695652173913,4,0
2009,2,20,33.391304347826086,5,0
2009,2,21,41.916666666666664,6,1
2009,2,22,33.47826086956522,0,1
2009,2,23,45.541666666666664,1,0
2009,2,24,53.91304347826087,2,0
2009,2,25,33.416666666666664,3,0
2009,2,26,40.52173913043478,4,0
2009,2,27,32.708333333333336,5,0
2009,2,28,43.608695652173914,6,1
2009,3,1,35.416666666666664,0,1
2009,3,2,28.434782608695652,1,0
2009,3,3,49.666666666666664,2,0
2009,3,4,62.43478260869565,3,0
2009,3,5,53.130434782608695,4,0
2009,3,6,61.130434782608695,5,0
2009,3,7,46.166666666666664,6,1
2009,3,8,66.30434782608695,0,1
2009,3,9,69.45833333333333,1,0
2009,3,10,62.52173913043478,2,0
2009,3,11,52.708333333333336,3,0
2009,3,12,52.73913043478261,4,0
2009,3,13,39.666666666666664,5,0
2009,3,14,45.47826086956522,6,1
2009,3,15,60.041666666666664,0,1
2009,3,16,36.1,1,0
2009,3,17,32.65,2,0
2009,3,18,22.91304347826087,3,0
2009,3,19,32.583333333333336,4,0
2009,3,20,33.30434782608695,5,0
2009,3,21,31.125,6,1
2009,3,22,49.04347826086956,0,1
2009,3,23,42.0,1,0
2009,3,24,48.42857142857143,2,0
2009,3,25,54.857142857142854,3,0
2009,3,26,61.285714285714285,4,0
2009,3,27,72.625,5,0
2009,3,28,71.26086956521739,6,1
2009,3,29,75.83333333333333,0,1
2009,3,30,43.19047619047619,1,0
2009,3,31,47.458333333333336,2,0
2009,4,1,54.30434782608695,3,0
2009,4,2,50.208333333333336,4,0
2009,4,3,43.869565217391305,5,0
2009,4,4,41.25,6,1
2009,4,5,40.26086956521739,0,1
2009,4,6,56.666666666666664,1,0
2009,4,7,48.69565217391305,2,0
2009,4,8,53.52173913043478,3,0
2009,4,9,43.791666666666664,4,0
2009,4,10,89.69565217391305,5,0
2009,4,11,80.70833333333333,6,1
2009,4,12,52.52173913043478,0,1
2009,4,13,55.25,1,0
2009,4,14,58.72727272727273,2,0
2009,4,15,84.6086956521739,3,0
2009,4,16,54.523809523809526,4,0
2009,4,17,38.75,5,0
2009,4,18,45.73913043478261,6,1
2009,4,19,50.708333333333336,0,1
2009,4,20,54.30434782608695,1,0
2009,4,21,55.625,2,0
2009,4,22,50.65217391304348,3,0
2009,4,23,46.34782608695652,4,0
2009,4,24,63.56521739130435,5,0
2009,4,25,68.66666666666667,6,1
2009,4,26,56.56521739130435,0,1
2009,4,27,75.875,1,0
2009,4,28,60.30434782608695,2,0
2009,4,29,38.791666666666664,3,0
2009,4,30,39.91304347826087,4,0
2009,5,1,55.25,5,0
2009,5,2,41.869565217391305,6,1
2009,5,3,48.416666666666664,0,1
2009,5,4,50.43478260869565,1,0
2009,5,5,53.166666666666664,2,0
2009,5,6,61.65217391304348,3,0
2009,5,7,53.25,4,0
2009,5,8,58.0,5,0
2009,5,9,38.791666666666664,6,1
2009,5,10,56.73913043478261,0,1
2009,5,11,43.041666666666664,1,0
2009,5,12,36.130434782608695,2,0
2009,5,13,45.76190476190476,3,0
2009,5,14,47.56521739130435,4,0
2009,5,15,46.625,5,0
2009,5,16,60.08695652173913,6,1
2009,5,17,63.083333333333336,0,1
2009,5,18,64.08695652173913,1,0
2009,5,19,51.458333333333336,2,0
2009,5,20,55.869565217391305,3,0
2009,5,21,56.916666666666664,4,0
2009,5,22,57.95652173913044,5,0
2009,5,23,66.54166666666667,6,1
2009,5,24,85.08695652173913,0,1
2009,5,25,64.73913043478261,1,0
2009,5,26,59.666666666666664,2,0
2009,5,27,51.73913043478261,3,0
2009,5,28,39.63636363636363,4,0
2009,5,29,56.56521739130435,5,0
2009,5,30,70.54166666666667,6,1
2009,5,31,68.43478260869566,0,1
2009,6,1,74.41666666666667,1,0
2009,6,2,84.78260869565217,2,0
2009,6,3,66.33333333333333,3,0
2009,6,4,73.3913043478261,4,0
2009,6,5,57.041666666666664,5,0
2009,6,6,39.608695652173914,6,1
2009,6,7,59.916666666666664,0,1
2009,6,8,68.52173913043478,1,0
2009,6,9,69.26086956521739,2,0
2009,6,10,67.6086956521739,3,0
2009,6,11,60.25,4,0
2009,6,12,64.34782608695652,5,0
2009,6,13,53.125,6,1
2009,6,14,51.95652173913044,0,1
2009,6,15,38.291666666666664,1,0
2009,6,16,57.73913043478261,2,0
2009,6,17,65.625,3,0
2009,6,18,70.25,4,0
2009,6,19,56.916666666666664,5,0
2009,6,20,43.17391304347826,6,1
2009,6,21,48.208333333333336,0,1
2009,6,22,48.56521739130435,1,0
2009,6,23,61.916666666666664,2,0
2009,6,24,74.56521739130434,3,0
2009,6,25,76.45833333333333,4,0
2009,6,26,72.73913043478261,5,0
2009,6,27,82.66666666666667,6,1
2009,6,28,64.3913043478261,0,1
2009,6,29,80.33333333333333,1,0
2009,6,30,94.52173913043478,2,0
2009,7,1,93.83333333333333,3,0
2009,7,2,103.95652173913044,4,0
2009,7,3,75.16666666666667,5,0
2009,7,4,61.08695652173913,6,1
2009,7,5,54.166666666666664,0,1
2009,7,6,43.63636363636363,1,0
2009,7,7,54.458333333333336,2,0
